frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -5 476.56 332.71 NaN NaN Fixation 1380696459 NA
1 -4 478.27 334.41 NaN NaN Fixation 1380713109 NA
1 -4 479.87 327.29 NaN NaN Fixation 1380729577 NA
1 -4 470.6 322.1 NaN NaN Fixation 1380746193 NA
2 -3 482.47 329.39 NaN NaN Fixation 1380762891 NA
3 -2 478.54 335.3 NaN NaN Fixation 1380779513 NA
3 -2 479.81 338.06 NaN NaN Fixation 1380796037 NA
4 -1 479.47 336.75 NaN NaN Fixation 1380812586 NA
4 -1 482.46 332.26 NaN NaN Fixation 1380829215 NA
5 -0 482.77 335.59 NaN NaN Blink 1380845830 NA
5 -0 483.07 331.38 NaN NaN Blink 1380862509 NA
6 0 492.8 410.69 NaN NaN Blink 1380878962 NA
6 0 484.68 330.37 NaN NaN Blink 1380895599 NA
7 1 478.7 328.57 NaN NaN Blink 1380912171 NA
7 1 478.17 328.28 NaN NaN Blink 1380928926 NA
8 2 484.38 329.66 NaN NaN Blink 1380945407 NA
8 2 485.14 329.73 NaN NaN Blink 1380961981 NA
9 3 484.69 337.55 984.94 423.61 Fixation 1380978534 Scene
9 3 483.93 328.7 975.37 416.43 Fixation 1380995581 Scene
10 4 487.54 330.39 971.54 449.81 Fixation 1381011912 Scene
10 4 482.37 331.04 967.53 449.87 Fixation 1381028333 Scene
11 5 481.05 330.02 942.72 448.47 Fixation 1381044924 Scene
11 5 482.79 330.01 NaN NaN Blink 1381061549 NA
12 5 481.97 338.99 NaN NaN Blink 1381078224 NA
12 5 479.03 330.91 NaN NaN Blink 1381094743 NA
13 6 490.83 354.62 NaN NaN Blink 1381111309 NA
13 6 485.92 334.47 NaN NaN Blink 1381127907 NA
14 7 492.25 349.57 NaN NaN Blink 1381144599 NA
14 7 491.34 334.19 NaN NaN Blink 1381161090 NA
15 8 487.39 352.53 NaN NaN Blink 1381177683 NA
15 8 484.01 342.73 NaN NaN Blink 1381194317 NA
16 9 483.59 339.77 NaN NaN Blink 1381210869 NA
16 9 489.09 335.1 NaN NaN Blink 1381227496 NA
17 10 490.54 329.69 NaN NaN Blink 1381244007 NA
17 10 490.12 330.38 NaN NaN Blink 1381260617 NA
18 11 482.72 332 NaN NaN Blink 1381277244 NA
18 11 489.63 334.45 NaN NaN Blink 1381293925 NA
19 11 483.14 335.38 NaN NaN Blink 1381310387 NA
19 11 488.21 346.53 NaN NaN Blink 1381327042 NA
20 12 482.41 355.76 NaN NaN Blink 1381344143 NA
20 12 486.95 348.33 NaN NaN Blink 1381360209 NA
21 13 478.94 353.04 NaN NaN Blink 1381376757 NA
21 13 504.08 331.95 NaN NaN Blink 1381393388 NA
22 14 493.82 335.01 NaN NaN Blink 1381409999 NA
22 14 492.28 341.29 NaN NaN Blink 1381426625 NA
23 15 490.35 353.92 NaN NaN Blink 1381443207 NA
23 15 488.28 342.89 NaN NaN Blink 1381459829 NA
24 16 479.36 356.68 NaN NaN Blink 1381476357 NA
24 16 493.68 345.91 NaN NaN Blink 1381493047 NA
25 16 494.01 343.27 NaN NaN Blink 1381509582 NA
25 16 493.96 355.71 NaN NaN Blink 1381526157 NA
26 17 491.91 329.16 NaN NaN Blink 1381542746 NA
26 17 495.88 327 NaN NaN Blink 1381559411 NA
27 18 498.41 325.62 938.54 440.11 Fixation 1381575987 Scene
27 18 496.4 329.46 946.91 440.11 Fixation 1381592562 Scene
28 19 496.47 325.38 990.41 468.06 Fixation 1381609220 Scene
28 19 495.43 325.19 989.78 467.95 Fixation 1381625857 Scene
29 20 498.19 324.48 938.54 440.11 Fixation 1381642500 Scene
29 20 490.53 329.28 946.91 440.11 Fixation 1381658998 Scene
30 21 497.58 351.29 955.27 444.29 Fixation 1381675608 Scene
30 21 492.82 335.43 963.64 452.66 Fixation 1381692159 Scene
31 21 497.67 351.53 963.64 465.21 Fixation 1381708751 Scene
31 21 498.16 350.71 959.45 461.02 Fixation 1381725338 Scene
31 21 493.45 337.48 963.64 456.84 Fixation 1381741947 Scene
32 22 491.32 332.72 959.45 461.02 Fixation 1381758605 Scene
