frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -0 508.81 365.82 969.75 628.05 Fixation 1124244690 Scene
1 1 508.04 365.37 971.14 627.92 Fixation 1124261300 Scene
1 1 508.62 366.19 971.76 628.7 Fixation 1124277820 Scene
2 2 506.19 366.28 970.11 631.73 Fixation 1124294529 Scene
2 2 505.73 365.47 969.61 630.94 Fixation 1124311088 Scene
3 2 505.13 366.17 947.34 651.6 Fixation 1124327565 Scene
3 2 505.13 365.4 947.38 650.71 Fixation 1124344180 Scene
4 3 506.18 367.68 974.79 630.14 Fixation 1124360874 Scene
4 3 508.86 377.22 978.02 639.57 Fixation 1124377484 Scene
5 4 518.07 385.27 987.98 647.23 Fixation 1124394102 Scene
5 4 518.18 386 NaN NaN Saccade 1124410578 NA
6 5 514.23 372.26 NaN NaN Saccade 1124427082 NA
6 5 514.6 378.44 986.22 641.05 Fixation 1124443756 Scene
7 6 513.76 380.05 978.5 652.52 Fixation 1124460427 Scene
7 6 511.81 383.37 976.6 656.2 Fixation 1124477008 Scene
7 6 512.6 381.43 977.35 654.07 Fixation 1124493585 Scene
8 7 512.64 383.62 986.11 643.22 Fixation 1124510158 Scene
9 7 510.37 384.88 991.17 635.21 Fixation 1124526678 Scene
9 7 511.01 385.33 991.83 635.6 Fixation 1124543353 Scene
10 8 510.32 385.94 981.32 645.85 Fixation 1124560217 Scene
10 8 510.2 385.85 981.2 645.76 Fixation 1124576542 Scene
11 9 510.35 386.53 968.92 655.17 Fixation 1124593207 Scene
11 9 510.48 386.74 NaN NaN Saccade 1124609798 NA
12 10 504.1 384.12 NaN NaN Saccade 1124626201 NA
12 10 494.56 384.39 NaN NaN Saccade 1124642856 NA
13 11 494.59 383.99 967.64 641.93 Fixation 1124659642 Scene
13 11 494.95 383.96 967.99 641.88 Fixation 1124676226 Scene
14 12 494.69 383.73 972.74 649.47 Fixation 1124692703 Scene
14 12 494.31 384.27 972.38 650.08 Fixation 1124709323 Scene
15 12 494.27 383.78 947.8 658.93 Fixation 1124725883 Scene
15 12 493.98 383.87 947.52 659.04 Fixation 1124742602 Scene
16 13 493.92 383.19 972.64 648.81 Fixation 1124759228 Scene
16 13 494.35 383.36 973.1 648.96 Fixation 1124775723 Scene
17 14 494.84 383.14 948.07 659.82 Fixation 1124792308 Scene
17 14 494.83 382.76 948.07 659.41 Fixation 1124808931 Scene
18 15 494.83 383.06 963.43 641.58 Fixation 1124825441 Scene
18 15 494.33 382.77 962.93 641.32 Fixation 1124841983 Scene
19 16 493.5 382.13 961.27 641.33 Fixation 1124859369 Scene
19 16 494.29 382.34 962.06 641.49 Fixation 1124875323 Scene
20 17 494.01 381.68 956.52 645.66 Fixation 1124891936 Scene
20 17 494.24 382.41 956.76 646.39 Fixation 1124908474 Scene
21 17 493.73 381.36 942.9 654.16 Fixation 1124925020 Scene
21 17 493.86 382.24 943.02 655.07 Fixation 1124941660 Scene
22 18 493.83 380.95 960.78 641.36 Fixation 1124958386 Scene
22 18 493.75 379.58 960.63 640 Fixation 1124974809 Scene
22 18 493.77 379.76 NaN NaN Saccade 1124991502 NA
23 19 497.85 373.3 NaN NaN Saccade 1125008081 NA
24 20 517.13 337 NaN NaN Saccade 1125024711 NA
24 20 521.83 317.46 NaN NaN Saccade 1125041437 NA
25 21 522.81 314.93 985.5 577.93 Fixation 1125057831 Scene
25 21 523.23 312.25 985.76 575.27 Fixation 1125074441 Scene
26 22 522.77 310.37 984.26 575.42 Fixation 1125091126 Scene
26 22 523.77 309.46 985.2 574.47 Fixation 1125107611 Scene
27 23 522.34 308.78 978.97 579.48 Fixation 1125124147 Scene
27 23 522.47 306.76 979.03 577.47 Fixation 1125140859 Scene
28 23 521.36 306.34 971.43 586.06 Fixation 1125157423 Scene
28 23 521.82 305.56 971.9 585.19 Fixation 1125174191 Scene
29 24 519.1 302.97 969.35 586.06 Fixation 1125190589 Scene
29 24 520.61 300.95 970.83 583.87 Fixation 1125207178 Scene
30 25 519.75 298.8 964.68 584.88 Fixation 1125223720 Scene
30 25 519.03 298.4 963.97 584.49 Fixation 1125240484 Scene
31 26 518.78 297.42 979.65 574.12 Fixation 1125257077 Scene
31 26 518.53 296.46 979.36 573.2 Fixation 1125273555 Scene
32 27 518.57 296.67 973.84 579.9 Fixation 1125290175 Scene
32 27 518.36 294.48 973.59 577.72 Fixation 1125306826 Scene
33 28 517.8 292.21 979.42 573.4 Fixation 1125323330 Scene
33 28 517.87 290.02 979.4 571.26 Fixation 1125339819 Scene
34 28 518.66 290.96 976.35 578.57 Fixation 1125357136 Scene
34 28 519.8 289.53 977.41 577.1 Fixation 1125373048 Scene
35 29 520.41 287.78 973.29 580.75 Fixation 1125389670 Scene
35 29 523.79 286.77 976.63 579.56 Fixation 1125406176 Scene
36 30 524.55 284.51 973.97 579.09 Fixation 1125422797 Scene
36 30 525.12 284.07 974.52 578.62 Fixation 1125439420 Scene
37 31 525.92 282.28 965.03 589.79 Fixation 1125456029 Scene
37 31 527.02 282.13 966.11 589.6 Fixation 1125472563 Scene
37 31 528 281.68 967.08 589.09 Fixation 1125489207 Scene
38 32 527.03 281.9 976.87 576.6 Fixation 1125505795 Scene
39 33 527.87 281.48 974.27 579.77 Fixation 1125522425 Scene
39 33 528.03 281.87 974.44 580.15 Fixation 1125539035 Scene
40 33 525.26 285.61 972.7 582.15 Fixation 1125555566 Scene
40 33 526.25 284.13 NaN NaN Saccade 1125572167 NA
41 34 513.05 285.3 NaN NaN Saccade 1125588797 NA
41 34 446.91 276.54 NaN NaN Saccade 1125605369 NA
42 35 384.1 279.43 NaN NaN Saccade 1125621975 NA
42 35 372.27 275.43 NaN NaN Saccade 1125638561 NA
43 36 369.92 276.96 803.66 590.27 Fixation 1125655154 Scene
43 36 369.41 276.9 803.14 590.23 Fixation 1125671735 Scene
44 37 368.97 276.89 813.37 585.82 Fixation 1125688317 Scene
44 37 368.56 276.76 812.96 585.69 Fixation 1125704917 Scene
45 38 369.45 275.66 825.32 575.53 Fixation 1125721675 Scene
45 38 368.03 276.86 823.92 576.79 Fixation 1125738275 Scene
46 38 367.53 277.7 818.57 580.36 Fixation 1125754850 Scene
46 38 366.58 276.45 817.64 579.14 Fixation 1125771447 Scene
47 39 366.96 277.06 NaN NaN Saccade 1125788066 NA
47 39 357.95 274.45 NaN NaN Saccade 1125804643 NA
48 40 351.93 275.24 NaN NaN Saccade 1125821353 NA
48 40 350.63 275.13 798.4 580.93 Fixation 1125837812 Scene
49 41 349.57 274.85 795.92 581.08 Fixation 1125855621 Scene
49 41 348.73 274.62 795.1 580.87 Fixation 1125871088 Scene
