frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -10 533.32 549.04 NaN NaN Fixation 3206490297 NA
1 -10 534.52 544.49 NaN NaN Fixation 3206506971 NA
1 -10 538.31 547.57 NaN NaN Fixation 3206523722 NA
2 -9 540.83 553.47 NaN NaN Fixation 3206540260 NA
2 -9 542.46 547.62 NaN NaN Blink 3206556854 NA
3 -8 546.52 548.37 NaN NaN Blink 3206573404 NA
3 -8 550.62 552.6 NaN NaN Blink 3206589888 NA
4 -7 543.61 591.11 NaN NaN Blink 3206606450 NA
4 -7 NaN NaN NaN NaN Blink 3206623540 NA
5 -6 -330.83 -2119.15 NaN NaN Blink 3206639878 NA
5 -6 NaN NaN NaN NaN Blink 3206656380 NA
6 -5 NaN NaN NaN NaN Blink 3206673019 NA
6 -5 NaN NaN NaN NaN Blink 3206689422 NA
7 -5 543.16 596.04 NaN NaN Blink 3206706049 NA
7 -5 NaN NaN NaN NaN Blink 3206722882 NA
8 -4 1644.59 5077.16 NaN NaN Blink 3206739559 NA
8 -4 -1503.82 4147.09 NaN NaN Blink 3206755955 NA
9 -3 815.38 580.05 NaN NaN Blink 3206772584 NA
9 -3 613.13 502.93 NaN NaN Blink 3206789241 NA
10 -2 795.63 1527.06 NaN NaN Blink 3206806092 NA
10 -2 637.04 504.88 NaN NaN Blink 3206822477 NA
11 -1 638.69 500.03 NaN NaN Blink 3206838861 NA
11 -1 639.26 496.58 NaN NaN Fixation 3206855557 NA
11 -1 640.91 499.4 NaN NaN Fixation 3206872156 NA
12 -0 641.88 499.06 965.17 399.62 Fixation 3206888598 NA
13 0 642.76 499.7 970.24 399.25 Fixation 3206905216 Scene
13 0 644.03 499.9 971.41 399.33 Fixation 3206921869 Scene
14 1 644.77 500.22 974.94 400.13 Fixation 3206938694 Scene
14 1 645.43 499.94 975.55 399.8 Fixation 3206955071 Scene
15 2 646.68 501.11 983.34 400.67 Fixation 3206971626 Scene
15 2 645.75 500.91 982.47 400.56 Fixation 3206988217 Scene
16 3 646.27 500.77 984.22 402.06 Fixation 3207004859 Scene
16 3 646.09 500.79 984.06 402.1 Fixation 3207022383 Scene
17 4 646.79 502.18 993.18 412.24 Fixation 3207038452 Scene
17 4 644.98 501.52 991.32 411.59 Fixation 3207054590 Scene
18 5 644.05 502.41 991.36 404.53 Fixation 3207071248 Scene
18 5 644.15 500.75 991.44 402.95 Fixation 3207087779 Scene
19 5 642.27 499.73 989.06 394.48 Fixation 3207104366 Scene
19 5 642.11 498.08 988.9 392.93 Fixation 3207121019 Scene
20 6 640.18 496.91 NaN NaN Saccade 3207137650 NA
20 6 617.34 498.21 NaN NaN Saccade 3207154325 NA
21 7 559.17 498.19 NaN NaN Saccade 3207170833 NA
21 7 553.4 500.01 NaN NaN Saccade 3207187250 NA
22 8 553.82 506.75 897.53 392.72 Fixation 3207203996 Scene
22 8 554.48 509.83 898.37 395.68 Fixation 3207220734 Scene
23 9 556.57 513.46 898.63 407.84 Fixation 3207237280 Scene
23 9 557.49 515.75 899.58 409.97 Fixation 3207253814 Scene
24 10 561.28 518.23 903.64 428.32 Fixation 3207270488 Scene
24 10 562.31 518.02 904.6 427.97 Fixation 3207286921 Scene
25 10 565.25 516.87 908.71 440.92 Fixation 3207303593 Scene
25 10 568.43 513.21 911.26 437.03 Fixation 3207320286 Scene
26 11 569.4 507.34 911.76 444.15 Fixation 3207336773 Scene
26 11 571.46 499.38 912.88 436.32 Fixation 3207353477 Scene
26 11 572.59 490.98 913.09 428.16 Fixation 3207370071 Scene
27 12 574.57 483.14 913.44 428.86 Fixation 3207386381 Scene
28 13 576.39 478.4 912.29 423.12 Fixation 3207402997 Scene
28 13 577.92 472.09 913.47 416.89 Fixation 3207419828 Scene
29 14 580.19 469.42 924.14 408.03 Fixation 3207436390 Scene
29 14 580.13 467.28 923.91 405.95 Fixation 3207452946 Scene
30 15 580.95 465.53 929.3 401.58 Fixation 3207469764 Scene
30 15 581.33 467.77 929.82 403.75 Fixation 3207486102 Scene
31 15 580.88 470.68 933.65 403.21 Fixation 3207502733 Scene
31 15 578.92 474.27 931.97 406.63 Fixation 3207519283 Scene
31 15 577.37 475.24 930.59 407.64 Fixation 3207536146 Scene
32 16 575.07 478.19 935.57 413.57 Fixation 3207552522 Scene
33 17 572.22 478.88 935.16 414.11 Fixation 3207569106 Scene
33 17 569.89 480.23 933.03 415.61 Fixation 3207585631 Scene
34 18 565.85 479.86 931.39 414.91 Fixation 3207602227 Scene
34 18 564.42 478.86 930 414.06 Fixation 3207618865 Scene
35 19 561.89 479.18 927.67 414.66 Fixation 3207635614 Scene
35 19 561.21 479.18 927.03 414.71 Fixation 3207652294 Scene
