frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -0 313.56 258.52 NaN NaN Saccade 911083143 NA
1 0 292.11 259.9 NaN NaN Saccade 911099864 NA
1 0 185.82 306.49 NaN NaN Saccade 911116251 NA
2 1 143.25 322.21 NaN NaN Saccade 911133030 NA
2 1 166.24 311.76 421.45 411.14 Fixation 911149589 Scene
3 2 163.75 308.21 418.88 408.95 Fixation 911166306 Scene
3 2 158.98 312.94 412.57 413.58 Fixation 911182746 Scene
4 3 186.4 297.48 445.53 403 Fixation 911199442 Scene
4 3 183.38 298.08 442.02 403.23 Fixation 911215863 Scene
5 4 190.83 299.78 451.23 408.74 Fixation 911232537 Scene
5 4 195.92 300.03 457.04 409.73 Fixation 911249168 Scene
6 5 202.77 292.13 464.53 403.93 Fixation 911265753 Scene
6 5 196.62 295.2 457.13 406.5 Fixation 911282459 Scene
7 5 181.58 287.44 435.42 398.75 Fixation 911299048 Scene
8 6 202.52 288.88 453.81 405.51 Fixation 911315480 Scene
8 6 207.79 281.95 461.09 398.38 Fixation 911332085 Scene
8 6 208.27 287.76 460.55 405.04 Fixation 911348651 Scene
9 7 218.57 281.37 477.88 396.62 Fixation 911365282 Scene
10 8 201.45 276.38 456.62 387.97 Fixation 911382025 Scene
10 8 206.15 277.8 461.91 390.12 Fixation 911398528 Scene
10 8 211.4 279.14 467.83 392.25 Fixation 911415005 Scene
11 9 187.11 281.2 441.82 390.7 Fixation 911431622 Scene
11 9 196.91 277.36 453.53 387.71 Fixation 911448461 Scene
12 10 207.63 282.99 466.29 394.01 Fixation 911464842 Scene
12 10 194.3 278.59 451.9 387.25 Fixation 911481503 Scene
13 10 230.29 278.58 485.83 393.29 Fixation 911498156 Scene
13 10 226.74 281.26 481.46 395.83 Fixation 911514556 Scene
14 11 219.48 277.29 473.34 390.85 Fixation 911531349 Scene
14 11 225.8 278.09 480.54 392.43 Fixation 911547765 Scene
15 12 256.78 224 523.15 335.97 Fixation 911564477 Scene
15 12 255.56 233.02 519.71 345.73 Fixation 911581195 Scene
16 13 260.12 224.88 530.33 338.25 Fixation 911597651 Scene
16 13 260.27 230.9 530.1 344.76 Fixation 911614145 Scene
17 14 264.54 236.58 536.93 349.22 Fixation 911630823 Scene
17 14 125.78 339.9 NaN NaN Fixation 911647462 In-vehicle:other
18 15 268.19 229.88 542.09 341.07 Fixation 911664167 Scene
18 15 270.72 228.62 545.05 339.97 Fixation 911680741 Scene
19 15 270.76 226.73 544.51 337.92 Fixation 911697169 Scene
19 15 269.82 225.08 543.63 336.01 Fixation 911713775 Scene
20 16 147.32 328.23 387.08 442.19 Fixation 911730396 Scene
20 16 272.86 225.21 551.12 337.29 Fixation 911747004 Scene
21 17 275.61 226.07 556.63 343.33 Fixation 911763676 Scene
21 17 275.67 223.27 556.81 340.3 Fixation 911780248 Scene
22 18 277.83 224.26 569.29 344.55 Fixation 911796896 Scene
22 18 278.68 223.8 NaN NaN Saccade 911813394 NA
23 19 153.3 346.45 NaN NaN Saccade 911829860 NA
23 19 334 251.57 NaN NaN Saccade 911846598 NA
24 19 386.91 268.66 NaN NaN Saccade 911863154 NA
24 19 434.45 269.82 NaN NaN Saccade 911879970 NA
25 20 488.71 282.76 NaN NaN Saccade 911896314 NA
25 20 519.13 358.82 NaN NaN Saccade 911912996 NA
26 21 515.98 312.37 846.13 440.01 Fixation 911929520 Scene
26 21 514.54 304.09 845.14 431.49 Fixation 911946232 Scene
27 22 513.52 347.96 841.91 479.05 Fixation 911962613 Scene
27 22 511.64 355.21 839.43 486.66 Fixation 911979546 Scene
27 22 506.88 303.13 838.74 431.09 Fixation 911996023 Scene
28 23 504.11 306.93 842.03 431.73 Fixation 912012615 Scene
29 24 503.64 308.65 844.17 427.3 Fixation 912029014 Scene
29 24 503.18 307.02 843.76 425.61 Fixation 912045742 Scene
30 24 502.12 308.82 835.52 424.59 Fixation 912062300 Scene
30 24 502.05 314.07 835.09 430.06 Fixation 912079030 Scene
31 25 503.67 312.3 834.82 428.8 Fixation 912095466 Scene
31 25 503.45 316.8 834.22 433.66 Fixation 912111958 Scene
32 26 505.02 317.27 836.72 437.26 Fixation 912128589 Scene
32 26 506.37 320.56 837.88 440.84 Fixation 912145228 Scene
33 27 511.08 321.85 842.06 446.05 Fixation 912161832 Scene
33 27 513.33 322.48 844.29 446.82 Fixation 912178433 Scene
34 28 512.4 324.65 851.91 440.88 Fixation 912194957 Scene
34 28 515.6 321.7 855.12 438.07 Fixation 912211579 Scene
35 29 517 321.03 852.59 440.53 Fixation 912228216 Scene
35 29 517.47 319.06 853.13 438.5 Fixation 912244717 Scene
36 29 519.35 316.25 838.34 437.89 Fixation 912261347 Scene
36 29 521.01 319.52 839.67 441.67 Fixation 912277972 Scene
37 30 524.21 316.78 850.28 434.2 Fixation 912294633 Scene
37 30 522.81 320.77 NaN NaN Saccade 912311292 NA
38 31 514.18 334.08 NaN NaN Saccade 912327745 NA
38 31 436.87 326.82 NaN NaN Saccade 912344351 NA
39 32 367.89 305.65 NaN NaN Saccade 912360933 NA
39 32 310.31 344.3 NaN NaN Saccade 912377530 NA
40 33 320.37 362.19 NaN NaN Saccade 912394122 NA
40 33 243.25 420.14 NaN NaN Saccade 912410716 NA
41 34 334.52 269.26 NaN NaN Saccade 912427343 NA
41 34 330.49 280.07 NaN NaN Saccade 912443858 NA
42 34 281.75 367.2 NaN NaN Saccade 912460466 NA
42 34 261.05 396.5 552.35 514.55 Fixation 912477052 Scene
42 34 345.35 293 645.68 406.32 Fixation 912493722 Scene
43 35 346.48 295.3 644.75 426.29 Fixation 912510557 Scene
44 36 351.56 293.27 652.16 433.72 Fixation 912526959 Scene
44 36 357.91 288.14 658.82 428.56 Fixation 912543572 Scene
45 37 334.41 227.9 633.71 365.93 Fixation 912560288 Scene
45 37 331.69 322.25 627.6 465.25 Fixation 912576928 Scene
46 38 321.03 331.77 NaN NaN Saccade 912593475 NA
