frame_etg frame_gar X Y X_gar Y_gar event_type code loc
1 1 490.96 298.9 954.84 460.71 Fixation 236735065 Scene
1 1 489.4 296.77 953.22 458.84 Fixation 236751575 Scene
2 1 491.4 294.6 935.61 467.05 Fixation 236768188 Scene
2 1 490.86 292.07 935.3 464.16 Fixation 236784802 Scene
3 2 490.21 289.51 943.15 440.32 Fixation 236801490 Scene
3 2 489.57 289.56 942.5 440.39 Fixation 236818088 Scene
3 2 489.61 289.74 NaN NaN Saccade 236834591 NA
4 3 506.73 278.38 NaN NaN Saccade 236851164 NA
5 4 505.55 277.72 962.65 411.25 Fixation 236867815 Scene
5 4 504.79 274.54 961.84 408.32 Fixation 236884408 Scene
5 4 503.96 273.95 961.01 407.77 Fixation 236900937 Scene
6 5 502.86 268.99 958.37 412.57 Fixation 236917561 Scene
7 5 501.34 267.4 948.15 420.21 Fixation 236934293 Scene
7 5 501.56 266.34 948.48 419.05 Fixation 236951038 Scene
8 6 501.01 265.36 958.09 416.78 Fixation 236967504 Scene
8 6 501.1 264.51 958.19 415.92 Fixation 236984135 Scene
9 7 502.84 263.92 960.69 418.96 Fixation 237000778 Scene
9 7 504.17 265.18 962.01 420.32 Fixation 237017293 Scene
10 8 504.38 264.34 968.26 420.79 Fixation 237033912 Scene
10 8 504.92 264.18 968.83 420.62 Fixation 237050540 Scene
11 9 507.37 263.1 976.26 416.89 Fixation 237067122 Scene
11 9 507.14 264.17 976.04 417.93 Fixation 237083766 Scene
11 9 507.16 262.2 976.04 416.01 Fixation 237100199 Scene
12 10 507.31 264.54 976.49 422.82 Fixation 237116701 Scene
13 10 507.52 263.36 975.17 422.28 Fixation 237133489 Scene
13 10 506.64 264.4 974.29 423.29 Fixation 237150166 Scene
14 11 505.71 265.77 966.84 429.02 Fixation 237166645 Scene
14 11 505.83 267.11 966.91 430.43 Fixation 237183038 Scene
15 12 504.88 266.73 966.99 431.85 Fixation 237199783 Scene
15 12 505.43 269.86 967.51 435.14 Fixation 237216393 Scene
16 13 506.07 269.88 969.08 430.41 Fixation 237233075 Scene
16 13 505.21 270.82 968.24 431.32 Fixation 237249627 Scene
17 14 504.67 270.05 NaN NaN Saccade 237266340 NA
17 14 493.82 276.24 NaN NaN Saccade 237282875 NA
17 14 485.61 281.87 NaN NaN Saccade 237299353 NA
18 15 484.52 282.13 948.46 442.46 Fixation 237315852 Scene
18 15 485.74 283.11 949.7 443.46 Fixation 237332656 Scene
19 15 486.31 282.01 951.06 445.6 Fixation 237349279 Scene
20 16 486.9 280.41 953.54 430.94 Fixation 237365850 Scene
20 16 488.08 279.71 954.69 430.31 Fixation 237382530 Scene
21 17 486.97 275.76 952.98 432.97 Fixation 237398834 Scene
21 17 489.07 277.29 955.13 434.64 Fixation 237415503 Scene
22 18 489.02 273.66 955.54 423.08 Fixation 237432289 Scene
22 18 489.96 272.7 956.45 422.22 Fixation 237448693 Scene
23 19 490.94 275.27 952.7 432 Fixation 237465348 Scene
23 19 492.52 273.99 NaN NaN Saccade 237481904 NA
23 19 503.84 281.61 NaN NaN Saccade 237498529 NA
24 20 576.87 294.93 NaN NaN Saccade 237515080 NA
25 20 654.68 306.17 NaN NaN Saccade 237531730 NA
25 20 702.52 314.02 NaN NaN Saccade 237548422 NA
25 20 707 314.47 NaN NaN Saccade 237564992 NA
