frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 4 547.37 243.77 1004.29 424.46 Fixation 1915037438 Scene
1 5 547.08 245.94 985.38 419.92 Fixation 1915054065 Scene
1 5 546.82 245.72 985.1 419.7 Fixation 1915070646 Scene
2 6 546.39 244.14 981.07 419.96 Fixation 1915087094 Scene
2 6 546.36 243 981.01 418.79 Fixation 1915103778 Scene
3 6 546.55 242.03 977.99 420.84 Fixation 1915120445 Scene
3 6 547.24 240.66 978.64 419.4 Fixation 1915137065 Scene
3 6 548.3 236.27 979.52 414.8 Fixation 1915153603 Scene
4 7 549.61 236.36 982.82 415.75 Fixation 1915170285 Scene
5 8 549.51 235.18 978.78 418.74 Fixation 1915186734 Scene
5 8 551.34 235.79 980.58 419.3 Fixation 1915203395 Scene
6 9 553.27 234.51 977.66 422.29 Fixation 1915219969 Scene
6 9 554.1 233.86 978.48 421.58 Fixation 1915236476 Scene
7 10 555.62 233.69 980.28 423.43 Fixation 1915253225 Scene
7 10 557.76 233.15 982.41 422.82 Fixation 1915269729 Scene
8 10 559.12 230.2 1023.11 423.69 Fixation 1915286354 Scene
8 10 560.57 229.58 NaN NaN Blink 1915302880 NA
9 11 573.32 230.52 NaN NaN Blink 1915319575 NA
9 11 605.17 221.12 NaN NaN Blink 1915336196 NA
10 12 NaN NaN NaN NaN Blink 1915352965 NA
10 12 NaN NaN NaN NaN Blink 1915369344 NA
11 13 NaN NaN NaN NaN Blink 1915385776 NA
11 13 NaN NaN NaN NaN Blink 1915402472 NA
12 13 NaN NaN NaN NaN Blink 1915419181 NA
12 13 NaN NaN NaN NaN Blink 1915435699 NA
13 14 NaN NaN NaN NaN Blink 1915452272 NA
13 14 NaN NaN NaN NaN Blink 1915468917 NA
14 15 NaN NaN NaN NaN Blink 1915485591 NA
14 15 NaN NaN NaN NaN Blink 1915502067 NA
15 16 NaN NaN NaN NaN Blink 1915518689 NA
15 16 NaN NaN NaN NaN Blink 1915535280 NA
16 17 NaN NaN NaN NaN Blink 1915551930 NA
16 17 NaN NaN NaN NaN Blink 1915568529 NA
17 17 NaN NaN NaN NaN Blink 1915585112 NA
17 17 NaN NaN NaN NaN Blink 1915601611 NA
18 18 NaN NaN NaN NaN Blink 1915618347 NA
18 18 NaN NaN NaN NaN Blink 1915634920 NA
18 18 NaN NaN NaN NaN Blink 1915651448 NA
19 19 NaN NaN NaN NaN Blink 1915668051 NA
20 20 NaN NaN NaN NaN Blink 1915684778 NA
20 20 NaN NaN NaN NaN Blink 1915701335 NA
21 21 NaN NaN NaN NaN Blink 1915717823 NA
21 21 582.82 250.68 NaN NaN Blink 1915734442 NA
22 21 580.34 247.12 NaN NaN Blink 1915751163 NA
22 21 580.79 246.65 1008.65 421.3 Fixation 1915767675 Scene
23 22 580.68 245.37 1021.02 423.02 Fixation 1915784199 Scene
23 22 581.11 244.12 1021.03 421.85 Fixation 1915800812 Scene
23 22 581.11 239.63 1019.58 417.66 Fixation 1915817435 Scene
24 23 581.73 236.7 1004.59 415.68 Fixation 1915833999 Scene
25 24 583.81 232.93 1004.05 407.37 Fixation 1915850690 Scene
25 24 584.36 229.76 1004.73 403.98 Fixation 1915867239 Scene
26 25 587.13 228.89 999.77 402.54 Fixation 1915883772 Scene
26 25 588.26 227.14 1001.14 400.53 Fixation 1915900403 Scene
27 25 591.48 226.73 997.03 398.99 Fixation 1915917084 Scene
27 25 589.53 227.81 NaN NaN Saccade 1915933550 NA
28 26 565.03 236.2 NaN NaN Saccade 1915950218 NA
28 26 567.36 234.98 968.41 406.21 Fixation 1915966780 Scene
29 27 568.98 235.66 974.38 402.27 Fixation 1915983423 Scene
29 27 569.72 238.07 973.91 405.23 Fixation 1915999899 Scene
29 27 571.57 240.42 974.64 408.08 Fixation 1916016514 Scene
30 28 573.92 239.64 981.26 405.25 Fixation 1916033157 Scene
31 29 575.69 239.35 984.1 404.79 Fixation 1916049841 Scene
31 29 576.29 240.38 984.42 405.76 Fixation 1916066414 Scene
32 29 577.17 241.28 979.67 404.99 Fixation 1916082936 Scene
32 29 578.05 241.24 980.58 404.9 Fixation 1916099474 Scene
33 30 577.27 242.86 976.02 397.72 Fixation 1916116162 Scene
33 30 576.88 243.61 975.58 398.67 Fixation 1916132774 Scene
33 30 578.08 245.51 977.03 401.01 Fixation 1916149377 Scene
34 31 577.36 246.41 965.15 411.47 Fixation 1916165925 Scene
35 32 577.38 246.63 978.27 409.65 Fixation 1916182572 Scene
35 32 577.22 249.33 978.19 412.61 Fixation 1916199076 Scene
36 32 577.04 250.32 978.69 419.63 Fixation 1916215711 Scene
36 32 576.79 252.18 978.41 421.67 Fixation 1916232304 Scene
37 33 577.63 252.73 978.12 430.44 Fixation 1916248953 Scene
37 33 578.4 253.43 978.91 431.18 Fixation 1916265549 Scene
38 34 578.79 252.07 977.48 437.43 Fixation 1916282064 Scene
38 34 578.51 251.2 977.22 436.53 Fixation 1916298646 Scene
39 35 579.26 247.28 980.67 435.17 Fixation 1916315183 Scene
39 35 578.45 244.38 980.11 432.09 Fixation 1916331887 Scene
40 36 578.9 242.19 980.26 433.02 Fixation 1916348646 Scene
40 36 580.05 239.06 981.56 429.38 Fixation 1916365140 Scene
41 36 580.39 237.9 978.97 431.15 Fixation 1916381703 Scene
41 36 580.56 235.86 979.17 428.91 Fixation 1916398202 Scene
41 36 581.71 234.17 980.37 427.01 Fixation 1916414839 Scene
42 37 581.46 234.01 980.96 429.89 Fixation 1916431352 Scene
43 38 582.69 233.9 978.95 431.4 Fixation 1916448138 Scene
43 38 582.9 233.57 979.16 431.03 Fixation 1916464695 Scene
44 39 584.49 232.14 982.14 427.54 Fixation 1916481239 Scene
44 39 584.28 232.11 981.92 427.52 Fixation 1916497839 Scene
45 40 583.71 231.83 988.76 423.57 Fixation 1916514535 Scene
45 40 584.58 232.33 989.5 424.08 Fixation 1916531154 Scene
46 40 584.5 232.65 992.61 422.21 Fixation 1916547616 Scene
46 40 584.79 232.83 992.89 422.38 Fixation 1916564174 Scene
47 41 586.21 232.9 NaN NaN Saccade 1916580796 NA
