frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -1 780.82 369.82 NaN NaN Fixation 1424725542 NA
1 -0 770.38 370.29 1097.3 761.44 Fixation 1424742286 NA
1 -0 759.59 368.59 1087.47 758.97 Fixation 1424758910 NA
2 1 751.57 367.41 1092.75 748.46 Fixation 1424775465 Scene
2 1 743.72 365.51 1085.23 745.88 Fixation 1424792094 Scene
3 1 739.25 367.39 1059.57 766.07 Fixation 1424808501 Scene
3 1 735.66 364.69 1056.51 762.68 Fixation 1424825053 Scene
4 2 735.19 363.44 1067.9 747.04 Fixation 1424841741 Scene
4 2 732.87 362.37 1065.94 745.87 Fixation 1424858403 Scene
5 3 733.52 361.83 1077.3 756.16 Fixation 1424874938 Scene
5 3 734.23 358.08 1078.84 752.68 Fixation 1424891512 Scene
6 4 735.86 353.38 1039.91 744.96 Fixation 1424908049 Scene
6 4 738.87 348.45 1043.03 740 Fixation 1424924614 Scene
7 5 742.17 346.93 1025.13 751.05 Fixation 1424941266 Scene
7 5 749.17 343.61 1025.13 746.88 Fixation 1424958029 Scene
8 6 752.73 342.78 NaN NaN Saccade 1424974453 NA
8 6 695.94 338.93 NaN NaN Saccade 1424991201 NA
9 6 578.86 349.33 NaN NaN Saccade 1425007602 NA
9 6 469.48 363.99 NaN NaN Saccade 1425024263 NA
10 7 380.26 373.15 NaN NaN Saccade 1425041018 NA
11 8 345.5 380.07 NaN NaN Saccade 1425057609 NA
11 8 353.43 381.27 537.31 776.07 Fixation 1425074267 Scene
11 8 364.83 379.6 545.65 776.07 Fixation 1425090747 Scene
12 9 372.86 377.68 524.8 788.58 Fixation 1425107163 Scene
12 9 380.64 375.03 528.97 792.75 Fixation 1425123815 Scene
13 10 387.72 375.23 516.46 796.92 Fixation 1425140609 Scene
13 10 391.68 371.74 520.63 796.92 Fixation 1425156958 Scene
14 11 392.84 371.18 533.14 764.6 Fixation 1425173635 Scene
14 11 396.12 369.43 537.31 760.43 Fixation 1425190354 Scene
15 11 397.58 368.11 541.48 768.77 Fixation 1425206906 Scene
15 11 400.63 366.51 549.82 764.6 Fixation 1425223361 Scene
16 12 403.55 369.06 524.8 768.77 Fixation 1425240120 Scene
16 12 406.35 368.61 533.14 764.6 Fixation 1425256743 Scene
17 13 407.57 369.88 541.48 777.11 Fixation 1425273316 Scene
17 13 410.92 371.36 537.31 777.11 Fixation 1425289901 Scene
18 14 413.09 374.57 533.14 781.28 Fixation 1425306315 Scene
18 14 414.75 377.63 537.31 781.28 Fixation 1425323047 Scene
19 15 414.2 381.59 524.8 818.81 Fixation 1425339781 Scene
19 15 414.34 381.17 528.97 810.47 Fixation 1425356197 Scene
20 16 414.14 383.2 528.97 814.64 Fixation 1425372766 Scene
20 16 411.84 383.42 528.97 810.47 Fixation 1425389497 Scene
21 16 412.61 382.9 478.94 806.3 Fixation 1425405991 Scene
21 16 412.05 383.22 478.94 802.13 Fixation 1425422644 Scene
22 17 411.32 383.47 516.46 822.98 Fixation 1425439126 Scene
22 17 410.37 383.57 516.46 827.14 Fixation 1425455870 Scene
