frame_etg frame_gar X Y X_gar Y_gar event_type code loc
0 -8 484.64 313.36 923.88 421.74 Fixation 368455622 NA
1 -7 484.02 316.65 919.92 417.78 Fixation 368472264 NA
1 -7 483.92 316.64 931.8 421.74 Fixation 368488856 NA
1 -7 483.12 316.75 931.8 429.65 Fixation 368505518 NA
2 -7 483.38 313.14 927.84 417.78 Fixation 368522168 NA
3 -6 484.42 313.59 919.92 425.7 Fixation 368538633 NA
3 -6 484.21 312.57 923.88 421.74 Fixation 368555162 NA
4 -5 485.07 312.42 927.84 421.74 Fixation 368571771 NA
4 -5 484.09 312.94 923.88 417.78 Fixation 368588360 NA
5 -4 480.35 356.32 927.84 496.95 Fixation 368604907 NA
5 -4 486.17 311.25 927.84 421.74 Fixation 368621484 NA
6 -3 486.72 308.91 915.96 429.65 Fixation 368638164 NA
6 -3 486.39 311.08 915.96 425.7 Fixation 368654727 NA
7 -2 484.74 313.74 925.75 433.41 Fixation 368671246 NA
7 -2 487.48 311.87 927.84 425.7 Fixation 368687889 NA
7 -2 487.59 309.84 923.88 429.65 Fixation 368704530 NA
8 -2 488.13 311.09 931.8 429.65 Fixation 368721107 NA
9 -1 486.45 309.5 931.8 417.78 Fixation 368737628 NA
9 -1 486.9 309.92 931.8 421.74 Fixation 368754235 NA
10 0 485.25 309.11 919.92 421.74 Fixation 368770878 Scene
10 0 487.04 307.14 919.92 421.74 Fixation 368787477 Scene
11 1 485.55 308.23 932.6 436.51 Fixation 368804153 Scene
11 1 486.24 307.93 930.06 436.51 Fixation 368820655 Scene
12 2 486.28 307.22 935.14 444.12 Fixation 368837353 Scene
12 2 486.72 314.42 930.06 436.51 Fixation 368853848 Scene
13 2 486.41 305.51 935.14 433.97 Fixation 368870510 Scene
13 2 485.83 304.93 935.14 439.05 Fixation 368886997 Scene
14 3 487.77 304.49 948.36 448.23 Fixation 368903644 Scene
14 3 487.05 309.11 944.7 452.08 Fixation 368920509 Scene
15 4 487.91 303.02 930.06 441.58 Fixation 368936875 Scene
15 4 487.85 304.78 930.06 444.12 Fixation 368953375 Scene
16 5 488.63 304.7 922.46 446.66 Fixation 368970286 Scene
16 5 490.51 298.82 930.06 446.66 Fixation 368986696 Scene
16 5 491.92 300.56 927.53 446.66 Fixation 369003325 Scene
17 6 490.58 310.33 919.93 463.53 Fixation 369019941 Scene
18 7 491.08 298.42 927.53 449.19 Fixation 369036566 Scene
18 7 489.67 300.6 924.99 441.58 Fixation 369053241 Scene
19 7 487.91 298.71 927.53 446.66 Fixation 369069820 Scene
19 7 485.24 295.59 930.06 444.12 Fixation 369086372 Scene
20 8 483.27 292.11 936.84 442.7 Fixation 369102839 Scene
20 8 482.67 288.61 933.52 439.11 Fixation 369119489 Scene
21 9 483.12 287.46 952.36 422.88 Fixation 369136223 Scene
